Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,atl-trx1-dc1-p1,Ethernet24/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/5,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/6,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/7,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/8,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/5,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/6,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/7,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet34/8,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/5,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/6,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/7,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet35/8,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/5,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/6,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/7,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet36/8,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet1/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet1/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet1/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet2/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet2/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet2/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet2/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet3/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet3/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet3/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet3/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet4/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet4/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet4/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet4/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet5/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet5/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet5/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet5/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet6/1,network_port,,,True
